1. Código del centro de trabajo.,|,2. Nombre o descripción del centro de trabajo.,|,3. Dirección del centro de trabajo.,|,"4. Zona donde se ubica el centro de trabajo, si aplicara.",|,"5. Teléfonos, separados por guiones o diagonales",|,6. Fax.,|,7. Nombre del contacto en ese centro de trabajo.,|,8. Correo electrónico.,|,9. Departamento de la República donde se ubica.,|,10. Municipio de la República.,|,11. Código de actividad económica.,|,ARCHIVO DE TEXTO
22,|,DISTRIBUIDORA ULTRA RAPIDA (EL ESTOR),|,EL ESTOR,|,,|,23790700,|,,|,,|,,|,18,|,3,|,930900,|,22|DISTRIBUIDORA ULTRA RAPIDA (EL ESTOR)|EL ESTOR||23790700||||18|3|930900|
23,|,DISTRIBUIDORA ULTRA RAPIDA (MORALES),|,IZABAL,|,,|,23790700,|,,|,,|,,|,18,|,4,|,930900,|,23|DISTRIBUIDORA ULTRA RAPIDA (MORALES)|IZABAL||23790700||||18|4|930900|
24,|,IGLESIA GUATEMALA,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,24|IGLESIA GUATEMALA|GUATEMALA||23790700||||1|1|930900|
25,|,INGRUP,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,25|INGRUP|GUATEMALA||23790700||||1|1|930900|
26,|,PROALVI,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,26|PROALVI|GUATEMALA||23790700||||1|1|930900|
27,|,CAPILLAS SEÑORIALES,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,27|CAPILLAS SEÑORIALES|GUATEMALA||23790700||||1|1|930900|
28,|,DISTRIBUIDORA LA CEIBA (EL RANCHO),|,EL RANCHO,|,,|,23790700,|,,|,,|,,|,2,|,3,|,930900,|,28|DISTRIBUIDORA LA CEIBA (EL RANCHO)|EL RANCHO||23790700||||2|3|930900|
29,|,IGLESIA COBAN,|,COBAN,|,,|,23790700,|,,|,,|,,|,16,|,1,|,930900,|,29|IGLESIA COBAN|COBAN||23790700||||16|1|930900|
30,|,PLASTI HOGAR ,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,30|PLASTI HOGAR |GUATEMALA||23790700||||1|1|930900|
31,|,FINCA LAS COLINAS ,|,CHIMALTENANGO ,|,,|,23790700,|,,|,,|,,|,4,|,1,|,930900,|,31|FINCA LAS COLINAS |CHIMALTENANGO ||23790700||||4|1|930900|
32,|,AUTOHOTELES,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,32|AUTOHOTELES|GUATEMALA||23790700||||1|1|930900|
33,|,COMERCIALIZADORA NEPAL,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,33|COMERCIALIZADORA NEPAL|GUATEMALA||23790700||||1|1|930900|
34,|,IMPELSA,|,GUATEMALA,|,,|,23790700,|,,|,,|,,|,1,|,1,|,930900,|,34|IMPELSA|GUATEMALA||23790700||||1|1|930900|
